,company,mkt_cap,industry,return
1805,A005380,50959863000.0,Automobiles & Components,-0.02851330014784137
1560,A000270,35753047000.0,Automobiles & Components,-0.020000008475702158
1997,A012330,31463104000.0,Automobiles & Components,0.007610353883123144
2082,A018880,9555020000.0,Automobiles & Components,-0.01648357204770501
388,A161390,5425728000.0,Automobiles & Components,-0.05907626208378092
599,A105560,17089706000.0,Banks,-0.03066037778325681
1069,A055550,16634506000.0,Banks,-0.004636768324645435
786,A086790,10358351000.0,Banks,-0.019886431128799065
2251,A316140,6572636000.0,Banks,-0.024651661307609873
2123,A024110,5968408000.0,Banks,-0.019417483854948903
2159,A028260,25042869000.0,Capital Goods,-0.05633802816901412
1729,A003550,17859663000.0,Capital Goods,0.004854355756167328
1937,A009540,6956997000.0,Capital Goods,-0.04097564934814757
1195,A034020,4739161000.0,Capital Goods,-0.038022752586663655
2160,A028300,4723461000.0,Capital Goods,-0.011098834037413186
1864,A006800,6298288000.0,Capital Markets,-0.00813010904438094
928,A071050,4792435000.0,Capital Markets,-0.04231625835189312
1316,A039490,3741866000.0,Capital Markets,-0.02657802144110355
2050,A016360,3549675000.0,Capital Markets,-0.02453988235902327
1833,A005940,3165850000.0,Capital Markets,-0.025974029989944025
2006,A012750,3169131000.0,Commercial Services & Supplies,-0.024561352529826497
895,A047810,3036350000.0,Commercial Services & Supplies,-0.037094281298299836
1998,A012450,2053047000.0,Commercial Services & Supplies,-0.04812214332209053
2299,A272210,1868405000.0,Commercial Services & Supplies,-0.03693181818181823
2168,A030190,1335726000.0,Commercial Services & Supplies,-0.03930135806804258
988,A066570,26920065000.0,Consumer Durables & Apparel,-0.014970066450523123
2100,A021240,5239773000.0,Consumer Durables & Apparel,-0.022038539348514075
840,A081660,2721700000.0,Consumer Durables & Apparel,-0.02502720348204568
1457,A009240,2285144000.0,Consumer Durables & Apparel,-0.019191919191919204
569,A111770,1588566000.0,Consumer Durables & Apparel,-0.0013927576601671099
1419,A035250,5113178000.0,Consumer Services,-0.02845523880714773
1423,A034230,1500554000.0,Consumer Services,-0.009009009009009028
776,A032350,1087628000.0,Consumer Services,-0.015673994971316607
564,A114090,974227000.0,Consumer Services,-0.015625
1810,A005440,880317000.0,Consumer Services,-0.02594589625205146
1435,A034220,8229761000.0,Display,0.004366812227074135
30,A278280,1846000000.0,Display,-0.0365344467640919
1218,A046890,1189430000.0,Display,-0.04449648711943799
754,A089980,934051000.0,Display,0.12075471698113205
260,A213420,842751000.0,Display,-0.04619570419739916
2165,A029780,3574247000.0,Diversified Financial Services,-0.035937499999999956
1456,A033660,638759000.0,Diversified Financial Services,-0.017699138610251852
1387,A027360,485582000.0,Diversified Financial Services,-0.037735849056603765
1948,A010050,458083000.0,Diversified Financial Services,-0.009451802792073916
1294,A041190,333480000.0,Diversified Financial Services,-0.03288670696905627
669,A096770,25566728000.0,Energy,-0.016014234875444844
1436,A034730,22656016000.0,Energy,-0.048744460856720795
1966,A010950,7903312000.0,Energy,-0.008474561155601301
57,A267250,3862762000.0,Energy,-0.03740157480314965
867,A078930,3433223000.0,Energy,-0.02506596306068598
1455,A033780,11175609000.0,"Food, Beverage & Tobacco",0.0012300123001229846
